id,listing_id,url,source,residential_complex_id,residential_complex_name,rooms,area,living_area,kitchen_area,floor,total_floors,price_usd,price_local,price_per_m2,house_type,year_built,building_series,ceiling_height,condition,bathroom,balcony,parking,furniture,floor_type,heating,security,internet,documents,offer_type,address,district,latitude,longitude,parsed_at,updated_at,is_active
15,1006005634,https://krisha.kz/a/show/1006005634?srchid=019b7a85-720b-7c77-a45d-b7962b99e132&srchtype=filter&srchpos=10440,krisha.kz,,Dauletti Qalashyq,3,85.0,,11.0,10.0,12.0,147373,75000000,1733,монолитный,2025,,3.0,свежий ремонт,2 с/у и более,балкон,паркинг,полностью,ламинат,,"домофон, кодовый замок, видеонаблюдение, видеодомофон",,,,Байтурсынова — А426,Алматы р-н,51.115678443791,71.521672158158,2026-01-03T20:52:33.167089,,1
16,1007464735,https://krisha.kz/a/show/1007464735,krisha.kz,,UIA.DARYN,2,52.78,,9.77,,,58949,30000000,1116,монолитный,2026,,2.65,,,,паркинг,,,,,,,,Улы Дала 14,Нура р-н,51.104471404018,71.357934035308,2026-01-03T20:52:39.564247,,1
17,1007228932,https://krisha.kz/a/show/1007228932?srchid=019b7a3b-e51d-764f-a61a-c2ea5132db39&srchtype=filter&srchpos=8868,krisha.kz,,Ak Bulak Premium,4,112.0,,12.0,9.0,9.0,208288,106000000,1859,кирпичный,2022,,3.0,,2 с/у и более,лоджия,,,ламинат,,"охрана, домофон",,,,Аскар Токпанов 22 — Шарль де Голя,Алматы р-н,51.143179929788,71.456093985873,2026-01-03T20:52:48.409628,,1
18,1007509416,https://krisha.kz/a/show/1007509416?srchid=019b7a23-b115-7b9f-b72e-176c653b507b&srchtype=filter&srchpos=1194,krisha.kz,,Гималаи,1,31.0,,,8.0,12.0,40085,20400000,1293,кирпичный,2024,,2.7,свежий ремонт,,лоджия,паркинг,,,,,,,,Нажмиденова 15,Алматы р-н,51.114054982988,71.511796450941,2026-01-03T20:52:58.902785,,1
19,1006900519,https://krisha.kz/a/show/1006900519?srchid=019b7a85-720b-7c77-a45d-b7962b99e132&srchtype=filter&srchpos=7132,krisha.kz,,GreenLine.Headliner Exclusive,3,112.0,,,,,231868,118000000,2070,монолитный,2024,,3.0,,2 с/у и более,лоджия,паркинг,полностью,,,"охрана, кодовый замок, видеонаблюдение, видеодомофон",,,,Толе би 52 — Хан шатыр,Нура р-н,51.133656711975,71.39893127291,2026-01-03T20:53:05.850451,,1
20,1008281193,https://krisha.kz/a/show/1008281193?srchid=019b7a65-053f-7c09-b6ca-4d3c225ac156&srchtype=filter&srchpos=22230,krisha.kz,,Самгау,1,40.0,,10.0,9.0,9.0,39299,20000000,982,кирпичный,2019,,,,,,,,,,,,,,Бестобе 33,Сарайшык р-н,51.119292,71.519129,2026-01-03T20:53:13.293388,,1
21,1007229428,https://krisha.kz/a/show/1007229428?srchid=019b7a85-720b-7c77-a45d-b7962b99e132&srchtype=filter&srchpos=6841,krisha.kz,,Сатти-7,4,170.0,,10.0,8.0,9.0,176848,90000000,1040,кирпичный,2017,,3.0,свежий ремонт,2 с/у и более,несколько балконов или лоджий,паркинг,полностью,ламинат,,"решетки на окнах, охрана, домофон, кодовый замок, сигнализация, видеонаблюдение, видеодомофон, консьерж",,,,Кошкарбаева 23а,Алматы р-н,51.12731461521,71.488687287437,2026-01-03T20:53:18.938111,,1
22,1007961124,https://krisha.kz/a/show/1007961124?srchid=019b7a85-720b-7c77-a45d-b7962b99e132&srchtype=filter&srchpos=8984,krisha.kz,,Adamant Life,2,54.4,,,12.0,16.0,64647,32900000,1188,монолитный,2025,,2.7,,,,паркинг,,,,,,,,Мангилик Ел 74 — Застройщик \,Есильский р-н,51.06859129051,71.418095973178,2026-01-03T20:53:25.020939,,1
23,1007233700,https://krisha.kz/a/show/1007233700?srchid=019b7a3b-e51d-764f-a61a-c2ea5132db39&srchtype=filter&srchpos=5306,krisha.kz,,,1,39.1,,,1.0,12.0,45194,23000000,1155,кирпичный,2022,,,свежий ремонт,,,,,,,,,,,Бейбарыс султан,Сарыарка р-н,51.173383,71.354746,2026-01-03T20:53:30.981218,,1
24,693327334,https://krisha.kz/a/show/693327334?srchid=019b7a23-b115-7b9f-b72e-176c653b507b&srchtype=filter&srchpos=1071,krisha.kz,,Люксембург,3,85.0,,25.0,1.0,10.0,100214,51000000,1178,кирпичный,2022,,3.0,,,балкон и лоджия,паркинг,,,,,,,,Алихан Бокейхан 15/1,,51.100209236141,71.434401317166,2026-01-03T20:53:38.032652,,1
25,1007253142,https://krisha.kz/a/show/1007253142?srchid=019b7a23-b115-7b9f-b72e-176c653b507b&srchtype=filter&srchpos=6574,krisha.kz,,Бухар Жырау De Luxe,3,110.0,,,8.0,10.0,135583,69000000,1232,кирпичный,2022,,3.0,,2 с/у и более,балкон и лоджия,паркинг,,,,"кодовый замок, видеонаблюдение, видеодомофон",,,,ул. Бухар жырау 34/2 — Бокейхана,Есильский р-н,51.098058309585,71.43416082537,2026-01-03T20:53:43.295728,,1
26,1001473562,https://krisha.kz/a/show/1001473562?srchid=019b7a85-720b-7c77-a45d-b7962b99e132&srchtype=filter&srchpos=20215,krisha.kz,,,1,29.0,,,3.0,3.0,27509,14000000,948,иной,2022,,2.7,"не новый, но аккуратный ремонт",,,,полностью,,,,,,,"мкр Уркер, Актамберды Жирау 49",Нура р-н,51.122401,71.263675,2026-01-03T20:53:50.890158,,1
27,1008278882,https://krisha.kz/a/show/1008278882?srchid=019b7a85-720b-7c77-a45d-b7962b99e132&srchtype=filter&srchpos=1414,krisha.kz,,Samal Park,2,41.1,,,12.0,13.0,80367,40900000,1955,кирпичный,2025,,3.0,свежий ремонт,,,паркинг,,,,,,,,Улица Жошы хан,Есильский р-н,51.103597631337,71.441835970503,2026-01-03T20:54:02.630359,,1
28,1008194660,https://krisha.kz/a/show/1008194660,krisha.kz,,,1,29.3,,,,,37334,19000000,1274,,2020,,2.7,свежий ремонт,совмещенный,,рядом охраняемая стоянка,полностью,ламинат,,"домофон, видеонаблюдение",,,,Куйши Дина,,51.145433,71.465392,2026-01-03T20:54:11.002189,,1
29,1007472090,https://krisha.kz/a/show/1007472090,krisha.kz,,Geneva 1,1,37.0,,10.0,3.0,12.0,40283,20500500,1088,кирпичный,2022,,3.0,,совмещенный,лоджия,,,,,,,,,"Улица А 52, 8/1",Сарайшык р-н,51.107785,71.512257,2026-01-03T20:54:16.326052,,1
30,1005637217,https://krisha.kz/a/show/1005637217?srchid=019b7a85-720b-7c77-a45d-b7962b99e132&srchtype=filter&srchpos=2411,krisha.kz,,Qazaq Eli Sairam,3,86.1,,,12.0,17.0,89996,45800000,1045,кирпичный,2023,,,,,,,,,,,,,,Нажмеденова 29/3,Алматы р-н,51.112866364401,71.523576279897,2026-01-03T20:54:22.576903,,1
31,1007347941,https://krisha.kz/a/show/1007347941?srchid=019b7a85-720b-7c77-a45d-b7962b99e132&srchtype=filter&srchpos=1776,krisha.kz,,Geneva 4,1,40.0,,,4.0,12.0,32815,16700000,820,кирпичный,2026,,,,,,,,,,,,,,"​Улица Шамши Калдаяков, 46 46",Сарайшык р-н,51.108872967188,71.513314247131,2026-01-03T20:54:30.804983,,1
32,1007993236,https://krisha.kz/a/show/1007993236?srchid=019b7a85-720b-7c77-a45d-b7962b99e132&srchtype=filter&srchpos=13195,krisha.kz,,Qobyz 2,3,94.0,,18.0,8.0,12.0,130671,66500000,1390,кирпичный,2024,,3.0,свежий ремонт,2 с/у и более,,,полностью,,,"решетки на окнах, охрана, домофон, кодовый замок, сигнализация, видеонаблюдение, видеодомофон",,,,Шамши Калдаякова 25 — Нажимеденова,Сарайшык р-н,51.114107,71.491038,2026-01-03T20:54:39.784797,,1
33,1007517031,https://krisha.kz/a/show/1007517031?srchid=019b7a85-720b-7c77-a45d-b7962b99e132&srchtype=filter&srchpos=9854,krisha.kz,,Виктория,3,76.3,,5.6,9.0,22.0,77616,39500000,1017,монолитный,2017,,3.0,"не новый, но аккуратный ремонт",,,паркинг,,,,,,,,Момышулы 2Б,Алматы р-н,51.131934872181,71.460224761309,2026-01-03T20:54:51.853007,,1
34,1008058485,https://krisha.kz/a/show/1008058485?srchid=019b7a3b-e51d-764f-a61a-c2ea5132db39&srchtype=filter&srchpos=5910,krisha.kz,,GAUHARTAS,1,44.0,,,11.0,12.0,54037,27500000,1228,кирпичный,2026,,3.0,,,,паркинг,,,,,,,,Улы Дала 38а,Нура р-н,51.100422279172,71.382220421086,2026-01-03T20:54:57.065229,,1
35,1005218189,https://krisha.kz/a/show/1005218189?srchid=019b7a85-720b-7c77-a45d-b7962b99e132&srchtype=filter&srchpos=16601,krisha.kz,,Aq-Jol,2,62.7,,,4.0,6.0,45194,23000000,720,кирпичный,2024,,2.8,черновая отделка,совмещенный,балкон и лоджия,,,,,видеонаблюдение,,,,Кабанбай батыра 107,Есильский р-н,51.049922238728,71.435744762421,2026-01-03T20:55:03.863517,,1
36,1008392479,https://krisha.kz/a/show/1008392479?srchid=019b7a23-b115-7b9f-b72e-176c653b507b&srchtype=filter&srchpos=5088,krisha.kz,,Томирис,3,79.0,,,7.0,21.0,75651,38500000,957,монолитный,2020,,2.8,,,,паркинг,,,,,,,,Шаймерденова 8,Алматы р-н,51.112364268758,71.536746025085,2026-01-03T20:55:10.448450,,1
37,1008329398,https://krisha.kz/a/show/1008329398?srchid=019b7a85-720b-7c77-a45d-b7962b99e132&srchtype=filter&srchpos=3231,krisha.kz,,BUQAR JYRAU EXCLUSIVE 2,3,105.0,,,6.0,17.0,190603,97000000,1815,монолитный,2024,,3.0,,,,паркинг,,,,,,,,"Туран 52/2, 52/3",Есильский р-н,51.104566046182,71.399554480031,2026-01-03T20:55:16.322869,,1
38,1008266827,https://krisha.kz/a/show/1008266827?srchid=019b7a23-b115-7b9f-b72e-176c653b507b&srchtype=filter&srchpos=4376,krisha.kz,,Sezim Qala. Orken,3,44.0,,,6.0,9.0,64647,32900000,1469,монолитный,2025,,2.7,свежий ремонт,совмещенный,лоджия,паркинг,без мебели,ламинат,,,,,,Туран 55/16 — Орынбор,Нура р-н,51.115024969179,71.39182948766,2026-01-03T20:55:22.045991,,1
39,1007991490,https://krisha.kz/a/show/1007991490?srchid=019b7a85-720b-7c77-a45d-b7962b99e132&srchtype=filter&srchpos=18744,krisha.kz,,Gala One,2,67.8,,10.6,2.0,12.0,76634,39000000,1130,кирпичный,2026,,3.0,,,лоджия,паркинг,,,,"охрана, видеонаблюдение, видеодомофон",,,,"пересечение ул. Казыбек Би и Е75,Е77 (рядом с пересечением улиц Туран и Улы дала) 40 — Тұран-Ұлы Дала",Нура р-н,51.101139264513,71.382877876182,2026-01-03T20:55:27.237920,,1
40,1008377413,https://krisha.kz/a/show/1008377413?srchid=019b7a85-720b-7c77-a45d-b7962b99e132&srchtype=filter&srchpos=8612,krisha.kz,,,3,60.0,,,5.0,5.0,42247,21500000,704,,1974,,,,,,,,,,,,,,Петрова 1/1 — Орбита,Алматы р-н,51.151382,71.463056,2026-01-03T20:55:33.930492,,1
41,761628171,https://krisha.kz/a/show/761628171?srchid=019b7a65-053f-7c09-b6ca-4d3c225ac156&srchtype=filter&srchpos=1968,krisha.kz,,Sat City,4,115.0,,,12.0,12.0,155233,79000000,1349,монолитный,2020,,3.0,свежий ремонт,2 с/у и более,,паркинг,частично,ламинат,,"домофон, видеонаблюдение",,,,Санжара Асфендиярова,Есильский р-н,51.133322,71.38121,2026-01-03T20:55:40.916272,,1
42,1008082168,https://krisha.kz/a/show/1008082168?srchid=019b7a3b-e51d-764f-a61a-c2ea5132db39&srchtype=filter&srchpos=1528,krisha.kz,,Aiva,2,74.0,,18.0,9.0,9.0,78579,39990000,1061,монолитный,2020,,2.85,свежий ремонт,совмещенный,лоджия,паркинг,полностью,ламинат,,,,,,E-669 13 — ГОРЯЧАЯ ЦЕНА,Есильский р-н,51.087417938217,71.481831943558,2026-01-03T20:55:48.269080,,1
43,1007847177,https://krisha.kz/a/show/1007847177?srchid=019b7a85-720b-7c77-a45d-b7962b99e132&srchtype=filter&srchpos=8420,krisha.kz,,La Vie,5,152.0,,,14.0,16.0,298677,152000000,1964,монолитный,2025,,3.3,черновая отделка,,,паркинг,,,,,,,,Кошкарбаева 4 — Момышулы,,51.129258135817,71.463185923378,2026-01-03T20:55:54.327963,,1
44,1008310877,https://krisha.kz/a/show/1008310877?srchid=019b7a85-720b-7c77-a45d-b7962b99e132&srchtype=filter&srchpos=20087,krisha.kz,,Алтын Отау,3,95.0,,,2.0,8.0,72704,37000000,765,иной,2021,,2.8,"не новый, но аккуратный ремонт",2 с/у и более,лоджия,паркинг,полностью,ламинат,,"охрана, домофон, сигнализация, видеонаблюдение",,,,А. Байтурсынова 40,Сарайшык р-н,51.11240799858,71.542991145769,2026-01-03T20:55:59.600154,,1
45,1006834963,https://krisha.kz/a/show/1006834963?srchid=019b7a23-b115-7b9f-b72e-176c653b507b&srchtype=filter&srchpos=8054,krisha.kz,,,3,71.8,,12.1,1.0,10.0,73686,37500000,1026,кирпичный,2012,,,свежий ремонт,раздельный,балкон,,полностью,ламинат,,"решетки на окнах, домофон, видеонаблюдение",,,,Кенен Азербаев 4,Сарайшык р-н,51.127659,71.504127,2026-01-03T20:56:05.679425,,1
46,1007425778,https://krisha.kz/a/show/1007425778,krisha.kz,,Sandi Qala,3,99.1,,,8.0,17.0,134601,68500000,1358,монолитный,2025,,3.0,,2 с/у и более,лоджия,паркинг,без мебели,,,"охрана, домофон, кодовый замок, видеонаблюдение, видеодомофон",,,,Жошы Хан 12,Есильский р-н,51.102113797806,71.439955804359,2026-01-03T20:56:13.437796,,1
47,1006731580,https://krisha.kz/a/show/1006731580?srchid=019b7a85-720b-7c77-a45d-b7962b99e132&srchtype=filter&srchpos=12905,krisha.kz,,,3,60.0,,,5.0,5.0,47159,24000000,785,монолитный,1974,,2.55,"не новый, но аккуратный ремонт",раздельный,,,полностью,линолеум,,,,,,Петрова 1/1 — Кажымукана,Алматы р-н,51.151396079806,71.463410023619,2026-01-03T20:56:19.252466,,1
48,696265747,https://krisha.kz/a/show/696265747?srchid=019b7a3b-e51d-764f-a61a-c2ea5132db39&srchtype=filter&srchpos=7664,krisha.kz,,Royal Expo Apartments,5,212.0,,,4.0,6.0,253482,129000000,1195,монолитный,2023,,3.3,свободная планировка,2 с/у и более,балкон и лоджия,паркинг,,,,,,,,Акмешит 19/11,Есильский р-н,51.093606,71.413873,2026-01-03T20:56:26.527375,,1
