Id,number_of_rooms,district,structure_type,year_of_construction,floor,area,quality,price
3746,2.0,3,3,1973.0,5.0,45.0,3,32000000.0
3747,3.0,3,3,1976.0,1.0,56.0,3,35000000.0
3748,1.0,1,2,2015.0,5.0,47.0,3,32000000.0
3749,2.0,3,2,2019.0,15.0,80.0,3,69000000.0
3750,2.0,5,2,2022.0,10.0,86.6,3,64950000.0
3751,3.0,6,2,2022.0,4.0,77.2,3,33500000.0
3752,3.0,1,1,1949.0,1.0,70.0,3,51999999.0
3753,4.0,3,2,2019.0,9.0,121.3,3,90000000.0
3754,2.0,3,1,1962.0,2.0,40.0,3,28500000.0
3755,2.0,2,2,2023.0,4.0,72.9,4,30399300.0
3756,2.0,6,2,2012.0,2.0,53.5,3,41000000.0
3757,3.0,5,2,2022.0,1.0,114.0,4,99000000.0
3758,2.0,1,1,1973.0,1.0,43.0,1,30500000.0
3759,1.0,3,2,2022.0,2.0,40.0,3,40000000.0
3760,2.0,6,2,2021.0,3.0,63.0,3,34500000.0
3761,2.0,3,2,2023.0,14.0,49.4,4,43000000.0
3762,4.0,3,0,2010.0,3.0,170.0,3,145000000.0
3763,2.0,4,3,1985.0,4.0,59.0,3,38000000.0
3764,1.0,3,1,1978.0,4.0,35.0,1,31500000.0
3765,3.0,4,3,1988.0,3.0,73.0,3,32500000.0
3766,3.0,4,3,1991.0,1.0,70.0,3,40000000.0
3767,1.0,3,2,2018.0,4.0,38.0,3,33500000.0
3768,1.0,0,2,2018.0,7.0,26.0,3,19999999.0
3769,1.0,6,2,2023.0,6.0,28.9,3,21990000.0
3770,1.0,6,2,2021.0,11.0,40.0,2,22000000.0
3771,2.0,3,3,1961.0,3.0,43.4,3,27000000.0
3772,4.0,3,3,1986.0,5.0,81.0,3,60000000.0
3773,3.0,5,1,1991.0,4.0,90.3,3,90000000.0
3774,2.0,0,3,1998.0,4.0,50.9,3,35000000.0
3775,2.0,1,2,2012.0,10.0,64.0,3,43000000.0
3776,1.0,5,2,2023.0,3.0,40.8,4,21500000.0
