Id,number_of_rooms,district,structure_type,year_of_construction,floor,area,quality,price
1,4.0,5,3,1971.0,5.0,75.0,3,43000000.0
2,1.0,3,3,2016.0,1.0,21.0,3,9000000.0
3,1.0,1,2,2014.0,1.0,20.0,3,20000000.0
4,1.0,0,1,2023.0,3.0,45.0,4,20000000.0
5,2.0,3,3,1977.0,5.0,51.7,1,36100000.0
6,2.0,0,2,2018.0,11.0,70.0,3,32000000.0
7,1.0,0,2,2012.0,7.0,50.4,3,27000000.0
8,4.0,2,1,1983.0,1.0,183.0,3,90000000.0
9,2.0,0,2,2019.0,3.0,40.0,3,21000000.0
10,2.0,5,2,2019.0,3.0,63.1,3,59000000.0
11,3.0,1,3,1992.0,9.0,74.0,2,40500000.0
12,1.0,3,1,1987.0,5.0,33.7,3,23500000.0
13,4.0,3,3,1973.0,3.0,73.0,3,48000000.0
14,2.0,7,3,1969.0,3.0,45.0,3,30000000.0
15,1.0,2,3,1968.0,1.0,33.0,3,22000000.0
16,1.0,1,3,1977.0,1.0,31.0,3,24000000.0
17,2.0,1,1,1981.0,4.0,51.8,3,50000000.0
18,1.0,0,2,2017.0,9.0,43.0,3,24000000.0
19,1.0,6,2,2023.0,6.0,47.0,3,26200000.0
20,3.0,4,2,2017.0,8.0,76.0,3,49000000.0
21,2.0,6,2,2019.0,3.0,69.0,3,29000000.0
22,1.0,0,2,2020.0,4.0,36.5,3,23500000.0
23,4.0,2,3,2000.0,6.0,100.0,3,60000000.0
24,1.0,6,2,2022.0,3.0,30.0,4,15200000.0
25,3.0,5,1,1978.0,2.0,96.0,3,105000000.0
26,2.0,2,2,2022.0,5.0,47.0,3,37500000.0
27,1.0,4,2,2024.0,5.0,54.57,0,21000000.0
28,3.0,5,3,1986.0,5.0,61.0,3,40000000.0
29,3.0,3,3,1972.0,4.0,57.0,3,31500000.0
30,2.0,4,1,2007.0,1.0,45.0,3,20000000.0
31,4.0,3,2,2007.0,15.0,172.0,3,125000000.0
32,2.0,6,2,2013.0,1.0,33.0,3,30000000.0
33,1.0,2,3,1967.0,1.0,32.0,3,20000000.0
34,3.0,5,2,2006.0,17.0,149.4,3,115000000.0
35,2.0,0,2,2017.0,10.0,58.5,3,31000000.0
36,2.0,3,2,2023.0,9.0,50.4,0,41000000.0
37,2.0,6,1,2023.0,3.0,84.0,0,27000000.0
38,2.0,3,2,2011.0,16.0,57.0,3,38000000.0
39,1.0,6,2,2022.0,5.0,39.0,3,27300000.0
40,4.0,5,2,2022.0,7.0,106.0,2,120000000.0
41,2.0,2,3,1965.0,1.0,44.0,3,23500000.0
42,2.0,0,2,2015.0,7.0,65.0,3,28500000.0
43,3.0,7,1,1989.0,3.0,67.0,3,41000000.0
44,2.0,3,2,2019.0,4.0,70.0,3,48500000.0
45,3.0,6,2,2020.0,5.0,82.0,3,52000000.0
46,1.0,3,3,1976.0,5.0,36.0,1,30000000.0
47,1.0,2,3,1966.0,1.0,31.0,2,16300000.0
48,3.0,3,2,2022.0,19.0,56.0,3,46500000.0
49,2.0,2,2,2008.0,3.0,67.0,0,40000000.0
50,3.0,2,3,1975.0,9.0,80.0,3,41700000.0
51,2.0,3,2,2023.0,15.0,51.4,4,38900000.0
52,3.0,3,2,2006.0,5.0,155.0,3,110900000.0
53,2.0,4,1,1976.0,3.0,53.0,2,27000000.0
54,5.0,5,1,2011.0,3.0,220.0,3,199000000.0
55,3.0,1,2,2011.0,5.0,140.0,3,90000000.0
56,1.0,7,2,2022.0,1.0,41.0,3,23900000.0
57,3.0,1,2,2008.0,5.0,130.0,3,87000000.0
58,2.0,3,1,1963.0,2.0,40.0,1,25000000.0
59,2.0,4,1,1989.0,5.0,50.0,3,30000000.0
60,3.0,2,3,1987.0,6.0,63.5,3,49000000.0
61,3.0,1,2,2011.0,9.0,58.0,3,39999999.0
62,2.0,3,2,2024.0,5.0,45.0,4,32000000.0
63,3.0,1,2,2012.0,18.0,126.0,3,67000000.0
64,2.0,7,2,2008.0,1.0,63.0,3,31550000.0
65,2.0,3,2,2015.0,14.0,89.1,3,171072000.0
66,3.0,1,1,1982.0,1.0,70.0,3,41500000.0
67,4.0,5,1,2012.0,4.0,139.7,3,130000000.0
68,3.0,3,1,1973.0,4.0,86.0,3,60000000.0
69,1.0,7,2,2016.0,8.0,45.0,3,25500000.0
70,3.0,2,3,1991.0,5.0,69.8,2,45000000.0
71,3.0,2,2,2014.0,5.0,104.0,3,62000000.0
72,2.0,3,2,2015.0,9.0,54.0,3,39300000.0
73,1.0,3,3,1985.0,4.0,33.0,2,31500000.0
74,2.0,3,3,1975.0,5.0,60.0,4,48500000.0
75,1.0,2,3,1994.0,4.0,35.0,3,26300000.0
76,3.0,1,2,2022.0,11.0,90.0,3,99999000.0
77,2.0,5,2,2019.0,7.0,115.5,3,150000000.0
78,3.0,1,2,2015.0,14.0,150.0,3,140000000.0
79,3.0,7,2,2016.0,9.0,99.0,3,55000000.0
80,1.0,3,1,1987.0,5.0,37.0,1,42000000.0
81,1.0,7,1,1960.0,2.0,19.0,3,10000000.0
82,1.0,7,2,2022.0,5.0,31.0,3,19000000.0
83,2.0,7,1,1962.0,3.0,40.0,3,22000000.0
84,1.0,0,2,2016.0,2.0,40.9,3,26500000.0
85,3.0,3,3,1970.0,1.0,58.0,3,45000000.0
86,3.0,6,0,2023.0,2.0,82.8,0,57000000.0
87,3.0,1,2,2012.0,15.0,102.0,3,66000000.0
88,2.0,1,3,1979.0,1.0,42.0,3,28500000.0
89,2.0,2,3,1966.0,2.0,45.0,3,26500000.0
90,5.0,2,2,2005.0,9.0,125.0,3,82000000.0
91,2.0,6,2,2021.0,9.0,64.0,3,38500000.0
92,1.0,4,1,1987.0,4.0,36.0,3,21500000.0
93,1.0,0,2,2015.0,5.0,39.6,1,18500000.0
94,3.0,4,2,2008.0,6.0,79.2,3,31000000.0
95,1.0,4,3,1989.0,3.0,42.0,3,22500000.0
96,1.0,5,2,2023.0,1.0,40.0,3,28000000.0
97,3.0,3,1,1973.0,2.0,84.0,3,61000000.0
98,1.0,1,2,2023.0,7.0,47.0,2,30000000.0
99,3.0,3,2,2019.0,3.0,74.0,3,69000000.0
100,2.0,6,2,2023.0,3.0,43.3,0,18500000.0
101,1.0,1,3,1978.0,2.0,14.0,3,14000000.0
102,2.0,0,2,2017.0,4.0,58.5,3,33500000.0
103,2.0,2,2,2018.0,6.0,78.8,3,59500000.0
104,1.0,5,2,2020.0,11.0,58.0,3,57119119.0
105,4.0,3,2,2019.0,4.0,121.9,3,105000000.0
106,2.0,3,2,2014.0,8.0,57.5,3,51000000.0
107,1.0,3,1,1965.0,2.0,36.6,3,23000000.0
108,1.0,7,2,2016.0,12.0,30.0,3,27000000.0
109,1.0,2,2,2005.0,9.0,40.0,3,28500000.0
110,1.0,2,1,1979.0,4.0,22.0,3,13800000.0
111,1.0,1,2,2023.0,1.0,41.0,4,35000000.0
112,2.0,4,1,2019.0,1.0,60.0,3,23000000.0
113,2.0,3,2,2014.0,8.0,70.0,3,54000000.0
114,1.0,4,3,1985.0,1.0,26.0,1,12000000.0
115,4.0,2,2,2005.0,7.0,108.2,3,65000000.0
116,3.0,1,3,1986.0,8.0,74.0,1,46000000.0
117,2.0,6,2,2022.0,3.0,63.7,3,34900000.0
118,1.0,2,3,1995.0,4.0,35.0,3,27000000.0
119,3.0,3,2,2014.0,8.0,100.0,3,82500000.0
120,2.0,3,2,2015.0,9.0,63.0,3,51500000.0
121,2.0,1,3,1988.0,3.0,50.0,1,32990000.0
122,2.0,2,2,2007.0,9.0,55.0,3,31000000.0
123,2.0,3,2,2019.0,10.0,55.0,3,50000000.0
124,1.0,2,2,2000.0,11.0,31.0,3,19000000.0
125,1.0,0,2,2017.0,1.0,41.0,3,25000000.0
126,2.0,5,1,1985.0,5.0,53.0,3,49500000.0
127,2.0,1,2,2012.0,9.0,65.0,3,42000000.0
128,4.0,1,2,2019.0,11.0,125.0,3,86999999.0
129,4.0,2,2,2018.0,4.0,116.0,3,71000000.0
130,2.0,0,2,2011.0,6.0,46.0,3,25000000.0
131,1.0,0,2,2020.0,1.0,45.1,3,25500000.0
132,2.0,7,3,1985.0,2.0,58.0,3,27000000.0
133,2.0,3,3,1979.0,5.0,45.0,2,35000000.0
134,2.0,2,3,1991.0,4.0,60.0,3,43000000.0
135,1.0,6,2,2019.0,7.0,43.0,3,23500000.0
136,1.0,1,2,2023.0,5.0,35.6,4,29300000.0
137,2.0,0,2,2019.0,1.0,62.0,3,33000000.0
138,2.0,6,2,2023.0,7.0,49.8,4,27999999.0
139,1.0,6,1,2023.0,1.0,46.96,0,18784000.0
140,2.0,2,2,2007.0,5.0,60.0,2,33500000.0
141,1.0,3,2,2023.0,2.0,28.63,4,28000000.0
142,3.0,2,3,1965.0,3.0,58.0,3,28000000.0
143,1.0,2,3,1967.0,2.0,31.0,3,20999999.0
144,2.0,2,2,2019.0,6.0,47.0,3,33000000.0
145,3.0,0,0,1965.0,2.0,50.3,3,23000000.0
146,3.0,2,2,2015.0,7.0,100.0,3,69000000.0
147,1.0,3,1,1965.0,2.0,30.0,1,21500000.0
148,4.0,1,1,1979.0,2.0,75.0,3,70000000.0
149,3.0,5,2,2022.0,16.0,95.4,3,71550000.0
150,1.0,3,2,2023.0,14.0,31.0,4,28000000.0
151,2.0,1,3,1979.0,5.0,45.0,1,28500000.0
152,2.0,5,2,2018.0,8.0,57.0,3,26500000.0
153,2.0,1,3,1974.0,5.0,45.0,3,31500000.0
154,2.0,6,2,2019.0,3.0,56.9,3,40000000.0
155,4.0,5,2,2021.0,10.0,236.5,3,354750000.0
156,3.0,3,3,1979.0,4.0,65.0,3,42500000.0
157,2.0,5,3,1986.0,3.0,44.0,3,24000000.0
158,1.0,6,2,2021.0,3.0,40.0,3,22500000.0
159,3.0,3,3,1978.0,5.0,60.0,1,31000000.0
160,2.0,2,3,1970.0,1.0,46.0,3,28000000.0
161,1.0,0,2,2016.0,1.0,40.0,1,15000000.0
162,1.0,0,2,2017.0,2.0,41.0,3,24000000.0
163,3.0,2,3,1990.0,9.0,86.0,3,50000000.0
164,2.0,5,0,2021.0,9.0,48.0,3,38500000.0
165,1.0,4,2,2022.0,2.0,39.7,3,30000000.0
166,2.0,6,3,1989.0,2.0,51.1,3,24000000.0
167,2.0,3,2,2016.0,2.0,70.0,4,52500000.0
168,1.0,0,2,2015.0,5.0,43.0,3,23500000.0
169,3.0,3,2,2016.0,2.0,93.0,3,88000000.0
170,3.0,3,3,1995.0,1.0,78.9,3,70000000.0
171,1.0,6,2,2022.0,10.0,21.0,3,17000000.0
172,1.0,1,2,2022.0,6.0,34.1,4,22500000.0
173,1.0,0,2,2019.0,6.0,38.0,3,22500000.0
174,2.0,1,3,1974.0,3.0,47.0,3,32500000.0
175,2.0,5,1,1993.0,3.0,48.0,3,48000000.0
176,1.0,2,2,2024.0,5.0,43.9,3,29500000.0
177,2.0,2,2,2018.0,3.0,55.0,3,38000000.0
178,3.0,5,2,2021.0,7.0,73.0,3,98000000.0
179,1.0,6,2,2020.0,5.0,30.0,3,18500000.0
180,1.0,6,1,2008.0,4.0,19.0,3,9500000.0
181,3.0,5,1,1975.0,5.0,112.0,3,76000000.0
182,3.0,3,3,1975.0,2.0,75.0,3,59000000.0
183,3.0,3,2,2021.0,13.0,93.0,3,84900000.0
184,4.0,2,3,1992.0,8.0,102.0,3,65000000.0
185,3.0,2,3,1961.0,2.0,59.0,3,31500000.0
186,2.0,2,2,2008.0,7.0,69.0,3,49500000.0
187,3.0,3,2,2015.0,2.0,95.0,3,96000000.0
188,3.0,1,1,1961.0,3.0,76.0,3,60900000.0
189,2.0,2,2,2009.0,9.0,55.0,3,36500000.0
190,3.0,3,1,1987.0,1.0,71.0,3,35000000.0
191,4.0,3,2,2021.0,8.0,140.0,3,200000000.0
192,2.0,1,2,2023.0,2.0,70.39,2,50000000.0
193,1.0,2,3,1990.0,3.0,37.0,1,22500000.0
194,2.0,2,1,1970.0,1.0,44.0,3,29000000.0
195,2.0,2,3,1968.0,2.0,46.0,3,27000000.0
196,2.0,6,2,2019.0,2.0,60.0,1,26000000.0
197,2.0,4,3,1986.0,1.0,52.0,3,26500000.0
198,1.0,1,3,1979.0,5.0,32.0,3,23000000.0
199,3.0,5,2,2018.0,11.0,120.0,3,160000000.0
200,2.0,7,3,1990.0,3.0,54.0,3,30000000.0
201,2.0,6,2,2022.0,4.0,61.4,2,28858000.0
202,3.0,3,3,1982.0,8.0,72.0,3,47000000.0
203,1.0,1,3,1990.0,8.0,41.0,3,33800000.0
204,3.0,2,3,1968.0,4.0,60.0,3,31500000.0
205,1.0,1,3,1981.0,5.0,31.1,3,25000000.0
206,1.0,1,3,1977.0,1.0,16.0,1,14500000.0
207,4.0,3,3,1988.0,5.0,83.7,3,52400000.0
208,2.0,3,2,2019.0,12.0,83.0,3,65000000.0
209,2.0,3,2,2008.0,3.0,74.7,3,90000000.0
210,3.0,3,2,2022.0,5.0,100.1,3,100000000.0
211,2.0,5,0,2015.0,2.0,69.0,3,72000000.0
212,4.0,3,3,1984.0,2.0,87.0,1,66000000.0
213,3.0,6,2,2019.0,12.0,83.1,3,45500000.0
214,2.0,1,3,1978.0,4.0,57.0,3,30000000.0
215,1.0,3,1,1975.0,5.0,42.0,1,28000000.0
216,2.0,3,2,2008.0,13.0,71.0,3,54600000.0
217,2.0,4,2,2022.0,9.0,48.0,3,38000000.0
218,3.0,2,2,2007.0,9.0,120.0,3,65000000.0
219,4.0,5,2,1993.0,5.0,100.0,3,100000000.0
220,3.0,0,2,2015.0,4.0,88.1,1,38900000.0
221,2.0,5,3,1973.0,4.0,45.0,3,33000000.0
222,3.0,1,3,1963.0,2.0,60.0,3,35000000.0
223,2.0,4,3,1985.0,5.0,60.0,3,32000000.0
224,4.0,5,2,2010.0,8.0,200.0,3,159999999.0
225,2.0,4,3,1998.0,5.0,52.8,1,38000000.0
226,2.0,0,1,1974.0,2.0,60.0,3,26000000.0
227,1.0,6,2,2022.0,8.0,26.0,4,16500000.0
228,2.0,5,1,2009.0,3.0,65.0,3,57000000.0
229,3.0,3,1,1986.0,1.0,70.0,3,65000000.0
230,2.0,3,2,2024.0,8.0,70.1,4,52000000.0
231,1.0,3,3,1979.0,2.0,33.0,2,23500000.0
232,2.0,7,1,1965.0,2.0,40.0,3,23500000.0
233,1.0,3,2,2019.0,9.0,40.0,3,35500000.0
234,2.0,1,2,2008.0,7.0,75.0,3,55000000.0
235,2.0,3,2,2015.0,6.0,51.0,3,45000000.0
236,4.0,3,2,2012.0,6.0,162.0,3,163000000.0
237,2.0,2,3,1963.0,3.0,46.0,3,32463000.0
238,3.0,5,1,1973.0,2.0,57.0,3,48000000.0
239,2.0,3,2,2015.0,6.0,63.0,3,41000000.0
240,4.0,2,2,2023.0,4.0,132.6,4,69000000.0
241,2.0,3,3,1980.0,5.0,54.0,3,38000000.0
242,1.0,2,2,2005.0,6.0,42.0,3,35500000.0
243,1.0,2,2,2019.0,7.0,42.0,3,29000000.0
244,2.0,3,2,2024.0,10.0,47.0,2,45500000.0
245,4.0,3,2,2023.0,10.0,122.0,2,72900000.0
246,2.0,7,2,2019.0,4.0,44.4,4,22000000.0
247,1.0,5,2,2010.0,3.0,41.2,3,41000000.0
248,3.0,5,1,1974.0,5.0,82.7,3,75500000.0
249,3.0,3,2,2020.0,4.0,90.0,3,95000000.0
250,2.0,3,3,1977.0,4.0,50.0,3,35500000.0
251,2.0,5,1,1975.0,2.0,53.0,3,63000000.0
252,1.0,7,1,1989.0,5.0,37.0,3,19000000.0
253,2.0,6,2,2014.0,9.0,72.9,3,33000000.0
254,3.0,3,2,2014.0,5.0,100.0,3,125000000.0
255,2.0,1,2,2012.0,2.0,65.0,3,50000000.0
256,2.0,3,1,1984.0,5.0,52.0,1,37500000.0
257,2.0,5,2,2015.0,15.0,71.5,3,60600000.0
258,2.0,2,2,2023.0,9.0,47.0,4,35000000.0
259,1.0,6,2,2022.0,6.0,28.0,3,17800000.0
260,4.0,5,2,2009.0,2.0,226.0,3,430000000.0
261,2.0,5,2,2024.0,2.0,48.4,4,16940000.0
262,1.0,1,2,2022.0,8.0,33.8,3,31775519.0
263,2.0,3,3,1977.0,5.0,43.0,3,27500000.0
264,2.0,1,3,1988.0,3.0,54.0,3,32990000.0
265,2.0,3,2,2023.0,2.0,80.0,0,40500000.0
266,2.0,3,1,1960.0,2.0,36.0,1,26000000.0
267,3.0,2,3,1984.0,1.0,70.1,3,65000000.0
268,3.0,3,2,2017.0,1.0,103.7,3,117000000.0
269,1.0,0,2,2010.0,8.0,51.0,3,23000000.0
270,3.0,0,1,1986.0,1.0,68.0,3,32000000.0
271,3.0,4,2,2021.0,4.0,85.0,3,43000000.0
272,2.0,7,2,2022.0,7.0,57.0,3,37000000.0
273,1.0,2,2,2015.0,16.0,44.0,3,30990000.0
274,2.0,2,2,2018.0,8.0,70.0,3,43500000.0
275,3.0,3,3,1984.0,9.0,72.0,3,49000000.0
276,1.0,2,1,1982.0,8.0,14.0,3,10500000.0
277,3.0,6,2,2019.0,4.0,76.0,3,49900000.0
278,4.0,3,2,2019.0,16.0,120.0,3,73000000.0
279,1.0,4,2,2018.0,2.0,21.0,3,18500000.0
280,2.0,3,2,2015.0,4.0,42.0,3,37500000.0
281,2.0,0,2,2017.0,4.0,56.7,3,35000000.0
282,2.0,2,3,1984.0,3.0,42.8,1,28000000.0
283,2.0,4,3,1985.0,5.0,59.6,3,40000000.0
284,1.0,6,2,2023.0,5.0,40.0,4,17500000.0
285,1.0,3,3,1977.0,3.0,33.0,2,22300000.0
286,3.0,5,3,1966.0,3.0,60.0,3,39500000.0
287,2.0,2,2,2015.0,9.0,78.0,3,62000000.0
288,4.0,3,2,2010.0,10.0,139.0,3,89000000.0
289,3.0,3,2,2019.0,12.0,82.0,3,60000000.0
290,2.0,2,2,2022.0,2.0,51.0,4,41600000.0
291,1.0,1,2,2021.0,7.0,44.0,3,34000000.0
292,1.0,3,2,2019.0,9.0,50.0,3,65000000.0
293,1.0,1,2,2019.0,10.0,31.0,3,32000000.0
294,3.0,3,2,2024.0,14.0,81.0,2,41000000.0
295,1.0,3,1,1962.0,3.0,30.0,3,23500000.0
296,3.0,7,0,1962.0,2.0,51.0,1,23400000.0
297,1.0,7,1,1961.0,2.0,24.0,3,8500000.0
298,1.0,6,2,2012.0,8.0,64.2,3,28000000.0
299,3.0,3,2,2022.0,1.0,88.0,4,47500000.0
300,3.0,7,2,2022.0,7.0,90.0,3,53500000.0
301,2.0,6,2,2020.0,7.0,61.0,3,28800000.0
302,2.0,2,3,1995.0,7.0,60.0,3,38490000.0
303,3.0,3,2,2023.0,2.0,99.5,4,57700000.0
304,2.0,3,3,1973.0,3.0,43.0,3,26000000.0
305,3.0,3,2,2016.0,12.0,108.0,3,86000000.0
306,1.0,0,2,2018.0,2.0,40.0,3,25500000.0
307,3.0,1,3,1986.0,6.0,70.0,3,45000000.0
308,1.0,0,2,2023.0,2.0,25.0,2,13500000.0
309,3.0,5,2,2021.0,3.0,68.0,3,68000000.0
310,3.0,0,2,2021.0,6.0,71.0,1,50000000.0
311,4.0,7,1,1990.0,5.0,85.0,3,45000000.0
312,3.0,6,2,2020.0,8.0,59.0,3,29500000.0
313,3.0,4,3,1983.0,5.0,68.0,1,35300000.0
314,2.0,3,3,1970.0,3.0,45.0,3,36700000.0
315,2.0,2,2,2013.0,3.0,75.0,3,59000000.0
316,2.0,4,1,1972.0,2.0,35.0,3,18000000.0
317,2.0,1,2,2012.0,17.0,49.5,3,34000000.0
318,2.0,7,0,1960.0,1.0,25.0,1,5000000.0
319,2.0,7,2,2020.0,9.0,54.0,3,31500000.0
320,1.0,3,2,2022.0,10.0,47.0,4,49000000.0
321,2.0,5,3,1973.0,4.0,43.0,3,34500000.0
322,3.0,3,2,2022.0,2.0,101.0,0,65700000.0
323,3.0,6,2,2019.0,1.0,82.0,3,51000000.0
324,5.0,3,2,2015.0,17.0,240.0,3,490000000.0
325,2.0,1,2,2012.0,5.0,72.3,3,37500000.0
326,1.0,5,3,1974.0,4.0,33.5,3,28200000.0
327,3.0,6,2,2023.0,5.0,66.0,0,35000000.0
328,2.0,2,2,2023.0,7.0,72.5,4,41000000.0
329,2.0,6,2,2020.0,9.0,69.0,3,45000000.0
330,6.0,5,2,2018.0,1.0,365.0,3,200000000.0
331,2.0,3,2,2017.0,3.0,100.6,3,101500000.0
332,2.0,1,2,2022.0,8.0,66.0,3,57000000.0
333,3.0,6,2,2020.0,8.0,80.0,3,43000000.0
334,3.0,3,3,1973.0,2.0,65.0,3,42000000.0
335,1.0,4,3,1985.0,2.0,142.0,1,24500000.0
336,3.0,3,2,2017.0,9.0,66.0,3,61700000.0
337,4.0,3,3,1975.0,5.0,75.0,3,48500000.0
338,2.0,2,2,2019.0,5.0,56.0,3,47000000.0
339,4.0,5,1,2022.0,3.0,210.0,3,99000000.0
340,2.0,5,2,2018.0,4.0,54.0,3,66000000.0
341,1.0,3,2,2019.0,10.0,38.2,0,31500000.0
342,2.0,3,2,2019.0,1.0,55.0,4,33000000.0
343,2.0,3,2,2015.0,9.0,63.0,3,52000000.0
344,4.0,3,2,2021.0,17.0,140.0,3,210000000.0
345,2.0,0,3,2014.0,8.0,64.0,3,27500000.0
346,3.0,3,2,2017.0,4.0,110.0,3,120000000.0
347,1.0,1,2,2019.0,6.0,39.0,3,35900000.0
348,2.0,3,2,2010.0,9.0,91.0,3,80000000.0
349,2.0,5,1,1984.0,5.0,52.0,3,42999999.0
350,2.0,4,3,1986.0,3.0,60.0,1,40000000.0
351,3.0,3,3,1977.0,5.0,60.0,1,31000000.0
352,3.0,0,2,2019.0,1.0,60.3,3,39999999.0
353,3.0,6,3,2019.0,7.0,76.0,3,42000000.0
354,3.0,3,1,1969.0,1.0,87.2,3,67500000.0
355,1.0,6,2,2018.0,1.0,44.0,3,21000000.0
356,2.0,7,2,2021.0,6.0,52.0,3,43000000.0
357,1.0,2,2,2020.0,5.0,49.0,3,31000000.0
358,2.0,3,2,2019.0,4.0,62.0,3,65000000.0
359,3.0,1,3,1972.0,5.0,56.0,3,33000008.0
360,3.0,2,3,1969.0,1.0,59.0,3,39000000.0
361,3.0,1,2,2018.0,3.0,72.0,3,43000000.0
362,2.0,5,3,1974.0,3.0,44.0,1,33000000.0
363,3.0,5,1,1986.0,1.0,82.0,3,62000000.0
364,2.0,6,2,2023.0,1.0,75.0,0,29900000.0
365,2.0,4,2,2008.0,3.0,65.0,1,26500000.0
366,1.0,6,2,2021.0,2.0,51.0,3,26000000.0
367,5.0,5,2,2016.0,12.0,288.0,0,201000000.0
368,3.0,1,2,2020.0,4.0,66.0,3,49500000.0
369,2.0,3,3,1979.0,8.0,58.0,3,45000000.0
370,3.0,4,3,1983.0,4.0,69.0,3,43700000.0
371,3.0,5,2,2014.0,8.0,117.0,3,95000000.0
372,2.0,5,2,2021.0,8.0,40.0,3,39000000.0
373,3.0,3,2,2018.0,2.0,90.0,3,83500000.0
374,2.0,6,2,2022.0,2.0,60.0,3,32000000.0
375,1.0,3,3,1990.0,5.0,40.0,3,29990000.0
376,2.0,1,3,1975.0,3.0,44.0,3,31000000.0
377,2.0,2,1,1980.0,5.0,55.0,3,52000000.0
378,2.0,3,2,2013.0,1.0,80.0,3,80000000.0
379,4.0,6,2,2017.0,6.0,150.0,3,130000000.0
380,1.0,3,2,2023.0,7.0,38.7,4,30000000.0
381,2.0,5,1,1976.0,5.0,50.0,3,37000000.0
382,3.0,1,2,2005.0,1.0,74.0,3,50000000.0
383,2.0,3,2,2019.0,5.0,60.0,3,48000000.0
384,1.0,1,2,2023.0,9.0,38.2,4,29000000.0
385,1.0,5,2,2010.0,4.0,45.0,3,27000000.0
386,5.0,5,2,2010.0,8.0,255.0,3,175000000.0
387,2.0,5,2,2019.0,2.0,57.0,3,37500000.0
388,1.0,3,2,2023.0,7.0,31.0,0,25500000.0
389,3.0,6,2,2019.0,3.0,75.0,3,40999999.0
390,3.0,3,2,2009.0,2.0,120.0,3,102000000.0
391,7.0,3,2,2019.0,1.0,450.0,4,128000000.0
392,1.0,2,3,1966.0,1.0,32.2,3,20500000.0
393,3.0,1,1,1965.0,1.0,56.0,3,44000000.0
394,2.0,6,2,2019.0,1.0,44.0,3,21000000.0
395,3.0,4,3,1985.0,2.0,42.0,3,20800000.0
396,2.0,1,1,1959.0,3.0,54.3,3,35000000.0
397,2.0,2,2,2017.0,5.0,65.0,3,55000000.0
398,2.0,5,0,1970.0,8.0,64.0,3,58000000.0
399,1.0,3,1,1972.0,4.0,20.5,3,13000000.0
400,2.0,2,2,2001.0,6.0,54.0,1,26000000.0
401,1.0,0,2,2020.0,4.0,37.0,3,29000000.0
402,3.0,5,3,1975.0,4.0,60.0,3,39300000.0
403,2.0,3,3,1975.0,3.0,43.0,3,34500000.0
404,2.0,3,2,2021.0,3.0,69.0,3,58900000.0
405,4.0,5,2,2017.0,5.0,175.0,3,235000000.0
406,1.0,5,2,2008.0,5.0,52.3,3,50000000.0
407,2.0,3,2,2005.0,4.0,53.0,3,40000000.0
408,3.0,3,1,1982.0,1.0,65.0,1,43000000.0
409,2.0,1,2,2020.0,6.0,53.2,3,40900000.0
410,2.0,3,2,2019.0,3.0,56.0,4,36800000.0
411,1.0,6,2,2019.0,5.0,40.0,3,22500000.0
412,3.0,5,2,2020.0,9.0,83.0,3,41000000.0
413,3.0,6,2,2017.0,1.0,75.0,3,38500000.0
414,2.0,3,2,2016.0,6.0,85.0,3,75000000.0
415,2.0,7,1,1960.0,3.0,41.2,3,21500000.0
416,3.0,5,1,1980.0,3.0,70.0,3,53000000.0
417,4.0,3,2,2023.0,4.0,152.0,0,102600000.0
418,2.0,4,1,1989.0,5.0,44.0,3,23000000.0
419,2.0,0,2,2021.0,4.0,58.0,3,35000000.0
420,2.0,3,2,2019.0,16.0,52.0,3,43000000.0
421,1.0,2,1,1984.0,5.0,33.4,3,27000000.0
422,1.0,6,2,2023.0,3.0,38.7,3,26500000.0
423,2.0,5,1,1962.0,1.0,41.0,0,44900000.0
424,3.0,1,2,2019.0,13.0,88.0,3,65500000.0
425,2.0,1,2,2022.0,9.0,61.2,0,48960000.0
426,3.0,2,2,1994.0,5.0,70.0,3,49500000.0
427,3.0,3,3,1974.0,1.0,60.0,3,38000000.0
428,3.0,3,2,2016.0,8.0,106.0,3,105000000.0
429,1.0,2,3,1993.0,1.0,32.0,1,21500000.0
430,2.0,0,2,2021.0,3.0,58.5,3,39500000.0
431,3.0,0,2,2020.0,10.0,70.0,3,40000000.0
432,3.0,3,2,2020.0,12.0,146.7,4,71900000.0
433,2.0,0,2,2019.0,3.0,63.0,1,28500000.0
434,1.0,3,3,1971.0,3.0,34.0,3,26000000.0
435,3.0,0,2,2011.0,8.0,90.2,3,49800000.0
436,3.0,3,1,1965.0,1.0,57.8,3,48000000.0
437,2.0,4,2,2022.0,8.0,56.6,3,30500000.0
438,2.0,6,2,2013.0,9.0,108.0,3,36000000.0
439,1.0,2,2,2005.0,8.0,44.2,3,29999000.0
440,2.0,7,1,1988.0,1.0,49.4,3,24000000.0
441,3.0,3,3,1975.0,3.0,59.0,1,34500000.0
442,3.0,3,2,2022.0,11.0,107.0,3,107500000.0
443,3.0,5,2,2021.0,2.0,92.0,3,68000000.0
444,1.0,2,1,1973.0,5.0,42.0,3,28000000.0
445,1.0,6,2,2019.0,8.0,38.0,3,22500000.0
446,2.0,2,3,1991.0,1.0,47.4,3,32500000.0
447,4.0,5,1,1991.0,1.0,78.2,1,103000000.0
448,3.0,0,2,2020.0,2.0,87.0,3,37000000.0
449,2.0,3,2,2023.0,5.0,65.8,0,56000000.0
450,2.0,0,2,2022.0,5.0,67.0,3,34000000.0
