iter	F1	Logloss
84	0.845523369	0.3623304435
85	0.8456004345	0.362130278
86	0.8457261756	0.3618538677
87	0.8457543375	0.3616939901
88	0.845764694	0.361561508
89	0.8457400534	0.3612488458
90	0.8458762912	0.3609986872
91	0.8457294936	0.3607500027
92	0.8457120954	0.3604838527
93	0.8457856094	0.3600460903
94	0.8458272253	0.3597228883
95	0.8459293089	0.3594384606
96	0.8459117065	0.3591820826
97	0.8459150114	0.3589922967
98	0.8460159951	0.358752046
99	0.8462220488	0.3581445867
100	0.8462290883	0.3579324649
101	0.8465365996	0.3577596312
102	0.8466341046	0.3575208861
103	0.8468333774	0.3573962239
104	0.8469278588	0.3569710631
105	0.8470017966	0.3567201045
106	0.847047574	0.3565516521
107	0.8471317965	0.3563451573
108	0.8471180105	0.3561619595
109	0.8474110656	0.3559602281
110	0.8473447833	0.3558001373
111	0.8474187568	0.3556250957
112	0.847502655	0.3554127906
113	0.8477120241	0.355213513
114	0.8477261175	0.3550468012
115	0.8475868813	0.3546420655
116	0.8470235315	0.3543723937
117	0.8478131567	0.3540385364
118	0.8479660377	0.3537541682
119	0.8480467091	0.3536145069
120	0.8482178757	0.3534804252
121	0.8484406931	0.3529566921
122	0.8480331314	0.3527362535
123	0.8479351302	0.3525744901
124	0.8479354907	0.3523981432
125	0.8480539202	0.3521907398
126	0.8481032887	0.3520166261
127	0.8489780864	0.3516634377
128	0.8492732766	0.3513233425
129	0.8492768018	0.350841957
130	0.8492142558	0.3506814117
131	0.8493609533	0.3504835783
132	0.8494481671	0.350262414
133	0.8495036403	0.3500599745
134	0.8497188836	0.349706514
135	0.8500070556	0.3495364633
136	0.8504521402	0.3490454518
137	0.850597535	0.3488072209
138	0.8507723661	0.3484970756
139	0.850904653	0.3483354075
140	0.8508011384	0.3480976628
141	0.8510545578	0.3479583191
142	0.8511656544	0.3477878751
143	0.851241464	0.3473969477
144	0.8512126572	0.3471567958
145	0.8512373417	0.3470346443
146	0.851393027	0.3467611091
147	0.8514048216	0.3466490317
148	0.8517330817	0.3464407831
149	0.8518081388	0.3462313616
150	0.8520697003	0.3459568085
151	0.8522045927	0.3457381917
152	0.8524919105	0.3455460924
153	0.8525533315	0.345313433
154	0.852612595	0.3451133682
155	0.8530125197	0.3449264898
156	0.8530435396	0.3447227656
157	0.8530153251	0.3445077358
158	0.8531703922	0.3443571117
159	0.8532205053	0.3442160517
160	0.853301643	0.3440719721
161	0.8534617041	0.3439553694
162	0.8536822111	0.343698713
163	0.8537112129	0.3435778924
164	0.8536908078	0.3434030864
165	0.8532787754	0.34317446
166	0.8537026135	0.3429709959
167	0.8538998699	0.3428629853
168	0.8539175154	0.3426365429
169	0.8539512323	0.3424795247
170	0.8540386709	0.3423788769
171	0.8544259263	0.3422071217
172	0.8544356944	0.3420495157
173	0.854452521	0.3418640842
174	0.8546072206	0.3416507392
175	0.854745062	0.3414939311
176	0.8546346242	0.3412242729
177	0.854712451	0.3410004286
178	0.854550746	0.340802602
179	0.8547618672	0.3406066715
180	0.8549658832	0.3404424813
181	0.8551557301	0.3402428615
182	0.8551972243	0.3400560312
183	0.8552731454	0.33993492
184	0.8553393519	0.3397634827
185	0.8553437697	0.339579421
186	0.8553640711	0.3393923749
187	0.8554841018	0.3392327525
188	0.855422325	0.3391035746
189	0.8555573663	0.3389736222
190	0.8556764445	0.3387209615
191	0.8554434708	0.3385135043
192	0.8555052303	0.3381396207
193	0.8554751951	0.337972994
194	0.8554699257	0.3378689413
195	0.8554955357	0.3377494436
196	0.8555273138	0.3376605773
197	0.8556437543	0.3375050845
198	0.8558060661	0.3374163902
199	0.8558439909	0.3373097095
200	0.8559480878	0.3371171232
201	0.8558404595	0.3369904252
202	0.8558607253	0.3368528809
203	0.8558809892	0.3367123194
204	0.8560140592	0.3364951978
205	0.85602299	0.3364200899
206	0.8561094091	0.3362794437
207	0.8562240789	0.3361869106
208	0.8562243415	0.3360361022
209	0.8562860389	0.3358652407
210	0.8563223296	0.3357243526
211	0.8563399994	0.3356070831
212	0.8564052269	0.3354798323
213	0.8567110172	0.3353116211
214	0.8567655958	0.3350678284
215	0.8568307689	0.3349371406
216	0.8569065369	0.3348077856
217	0.856944418	0.3346704759
218	0.8570545147	0.3345228792
219	0.8569752279	0.3343882185
220	0.8569716934	0.3342619201
221	0.8570025013	0.3341378939
222	0.8570555224	0.334033058
223	0.857124202	0.3339275536
224	0.8572852593	0.3338201111
225	0.8573337265	0.3337130164
226	0.8573811615	0.3335860171
227	0.8573362342	0.3334425623
228	0.8575340232	0.3333391488
229	0.8574452291	0.333239621
230	0.857503249	0.3331283167
231	0.8576733416	0.3330423923
232	0.8577596256	0.3329257771
233	0.8578413037	0.3327431544
234	0.8579890726	0.3326154728
235	0.8579784648	0.3325053541
236	0.8580527249	0.3323812698
237	0.8582170603	0.3322619262
238	0.8582477992	0.3321593262
239	0.8582559649	0.332069172
240	0.8582099872	0.3319425847
241	0.8582026434	0.3318505206
242	0.8583468361	0.3317490734
243	0.8584259955	0.3316561738
244	0.8585962103	0.3315131663
245	0.858859601	0.3313778854
246	0.8588867668	0.3312603183
247	0.8589493085	0.3311761014
248	0.8589870837	0.3310328152
249	0.859003629	0.3309289522
250	0.859095708	0.3307861116
251	0.8592727334	0.3306257153
252	0.8592526689	0.3304912432
253	0.859263283	0.3303698372
254	0.8592691955	0.3302519589
255	0.8593376217	0.3301136501
256	0.8593541422	0.3299879
257	0.859487423	0.3298534876
258	0.859676091	0.3297640905
259	0.8597633581	0.3296536122
260	0.8598352707	0.3295767898
261	0.8598388095	0.329469008
262	0.8598871492	0.3293752211
263	0.8599932281	0.3292778871
264	0.859956723	0.3291985549
265	0.8598895637	0.3291048326
266	0.8600451002	0.3290141057
267	0.8600533977	0.3289333269
268	0.8601888628	0.3288372589
269	0.8602596589	0.328743711
270	0.8601429872	0.3286169098
271	0.8601465271	0.328521376
272	0.8601630004	0.3284020337
273	0.8603138295	0.3283030276
274	0.860351532	0.3281988712
275	0.8604987817	0.3280541837
276	0.8606083132	0.3279181443
277	0.8606224754	0.3278112211
278	0.8606260161	0.3277197012
279	0.8607838343	0.3275898036
280	0.860762589	0.3274845965
281	0.8607355304	0.3274178818
282	0.8608392191	0.3273083403
283	0.86090749	0.3272333657
284	0.8609203753	0.3271458441
285	0.8609686702	0.3269957803
286	0.860965129	0.3269027428
287	0.8610781316	0.3267930769
288	0.861081673	0.3266828734
289	0.8610945469	0.3265734911
290	0.8611557021	0.3264872007
291	0.8612097664	0.3263673738
292	0.861291223	0.3262592635
293	0.8614064084	0.3261479202
294	0.8615335089	0.3260566241
295	0.8617535749	0.3259758262
296	0.8616242864	0.3258831523
297	0.8616960203	0.3257785077
298	0.8616960203	0.3256687253
299	0.8617159418	0.3255762785
300	0.8618452054	0.3254651272
301	0.8619261888	0.3253749605
302	0.8620120527	0.3252463208
303	0.8618872207	0.3251031329
304	0.8619602646	0.3249877715
305	0.8620801945	0.3248816911
306	0.8622199966	0.3247798706
307	0.8621987382	0.3246890686
308	0.8623186263	0.3245773039
309	0.8623491366	0.3244301159
310	0.8624172375	0.3243481326
311	0.862431411	0.3242786376
312	0.8623902747	0.3242117221
313	0.8623959782	0.3241318302
314	0.8623924351	0.3240395641
315	0.8624349544	0.3239662567
316	0.8624420414	0.3238232949
317	0.8624505156	0.3237668818
318	0.862500132	0.3236911849
319	0.8626270886	0.3236156146
320	0.8626483564	0.3234991033
321	0.8625660821	0.323332002
322	0.8626554458	0.323270242
323	0.8626377223	0.3231526531
324	0.8626824012	0.3230481691
325	0.8626483564	0.322957408
326	0.8626377223	0.322875459
327	0.8628100581	0.3227479102
328	0.862820692	0.3226586695
329	0.8628299122	0.3225678702
330	0.8629589311	0.3223677137
331	0.8629532643	0.3222776268
332	0.8629766542	0.3221895927
333	0.8630050128	0.3221081529
334	0.8630050128	0.3220285832
335	0.8630390351	0.3219338432
336	0.8631318896	0.3218337555
337	0.8632176473	0.3216989247
338	0.8630780316	0.3216139965
339	0.8632070111	0.3215159903
340	0.8632268421	0.3213182333
341	0.8633522348	0.3212311571
342	0.8633826915	0.3211589054
343	0.8634308731	0.3210730775
344	0.863403964	0.3209875867
345	0.8635491253	0.3208636394
346	0.8635313983	0.3207789804
347	0.8635922847	0.3207083742
348	0.8637692826	0.320607147
349	0.8638245321	0.3205309531
350	0.8638792092	0.3204565663
351	0.8637305751	0.3203672239
352	0.8637503761	0.3202765289
353	0.8636859472	0.320173751
354	0.8637666289	0.3200942403
355	0.8637899724	0.3200239169
356	0.8639060926	0.3199550209
357	0.8640221958	0.3198583388
358	0.8640916325	0.3197420306
359	0.8641341984	0.3196648872
360	0.8643932109	0.3195185243
361	0.8642680215	0.3194447509
362	0.8643268176	0.3193736805
363	0.8643825678	0.3192528969
364	0.8644023302	0.3191747644
365	0.8646292995	0.3190242144
366	0.8647721288	0.3189019855
367	0.8646769655	0.3188219278
368	0.8647681318	0.318734566
369	0.8647823255	0.3186731171
370	0.8648056133	0.3185580614
371	0.8648963235	0.3184935618
372	0.864849752	0.3183748159
373	0.8648765877	0.3183127021
374	0.8649156286	0.3182484399
375	0.864942462	0.3181669615
376	0.8650509345	0.3181009231
377	0.8651759868	0.3179976808
378	0.865190187	0.3179386649
379	0.865274192	0.3178491029
380	0.8653455687	0.3177613099
381	0.8654669968	0.3176045347
382	0.8654795982	0.3175084292
383	0.8654421463	0.3174070531
384	0.8655189959	0.3173226559
385	0.8655331956	0.3172709039
386	0.8655599913	0.3171749696
387	0.8655725855	0.3170166267
388	0.8656064768	0.3169531374
389	0.8656510159	0.3168794934
390	0.8656455269	0.316802769
391	0.8656368162	0.3167238576
392	0.8658239827	0.3166478915
393	0.8658649605	0.3165809784
394	0.8659075657	0.3164751514
395	0.8659307896	0.3163894792
396	0.8659343402	0.3163057292
397	0.8660340424	0.3162415647
398	0.8661249932	0.3161642404
399	0.8660572596	0.31605902
400	0.8660804749	0.3159987602
401	0.866018202	0.3159182881
402	0.8659717645	0.3158372814
403	0.8659862484	0.3157275274
404	0.8659878831	0.3156428789
405	0.8661288056	0.3155367146
406	0.8661236111	0.315458314
407	0.8661823199	0.3153845681
408	0.8662071735	0.3153173778
409	0.8662819832	0.3152375897
410	0.8663371395	0.315163071
411	0.8663316963	0.3150932544
412	0.8663816419	0.3150074828
413	0.8663567852	0.314865369
414	0.8663690992	0.3148044087
415	0.8663993976	0.3147220606
416	0.8664794138	0.3146522955
417	0.8665987046	0.3145765534
418	0.8667856454	0.3145147916
419	0.8667108749	0.3144339712
420	0.8667998543	0.3143567807
421	0.8667856454	0.3142735959
422	0.8667678849	0.3141735152
423	0.8667037708	0.3140955199
424	0.8667518132	0.3139899963
425	0.8668336846	0.3139236625
426	0.8668675128	0.3138683744
427	0.8669564784	0.3138124003
428	0.866979643	0.3137357813
429	0.8669991116	0.3136521406
430	0.8670703082	0.3135900484
431	0.8670168767	0.3134990876
432	0.8670542528	0.3133947017
433	0.8671503193	0.3133197181
434	0.8671432125	0.3132552676
435	0.8672249482	0.3131896392
436	0.8672604902	0.3131148501
437	0.8673761568	0.3130286778
438	0.8673992188	0.3129696796
439	0.867335138	0.3128849266
440	0.8673956638	0.3128205003
441	0.8674117039	0.3127597476
442	0.8674721407	0.3126752478
443	0.8675664632	0.3125874664
444	0.8676180477	0.3125304286
445	0.8676821004	0.3124347175
446	0.8676892117	0.3123608221
447	0.8677941649	0.3122763933
448	0.8677834976	0.3122169478
449	0.8676981237	0.3121404209
450	0.8677123459	0.3120704308
451	0.8678244042	0.3119717975
452	0.8677959588	0.311888285
453	0.8677763863	0.3118221588
454	0.8678226405	0.3117506405
455	0.8678066256	0.3116875622
456	0.8678244042	0.3116175101
457	0.8678083883	0.3115553833
458	0.8678208484	0.3114987166
459	0.8677905763	0.3114158974
460	0.8678955259	0.3113289739
461	0.8679844505	0.3112259903
462	0.8680822575	0.3111420468
463	0.8683062719	0.3110593661
464	0.8683382865	0.3110084401
465	0.8683489586	0.3109183024
466	0.8684804781	0.3107960207
467	0.8684875932	0.3107357312
468	0.8684875932	0.3106722436
469	0.8685249151	0.3106075182
470	0.8685408895	0.3104709563
471	0.8686226382	0.3104034537
472	0.868649279	0.3103191743
473	0.8687700525	0.3102130978
474	0.8688109139	0.3101509349
475	0.8687593796	0.3100841762
476	0.8688197541	0.3100128899
477	0.8688730052	0.3099405092
478	0.8689475936	0.3098537748
479	0.8691074214	0.3097721044
480	0.8691945208	0.3097217677
481	0.8694749351	0.3096595454
482	0.869497967	0.309586487
483	0.8694908496	0.3094895983
484	0.8694554601	0.3094116508
485	0.8694519012	0.3093558771
486	0.8695867308	0.3092729985
487	0.8695831718	0.3092015046
488	0.8694732549	0.3091306621
489	0.8695105246	0.3090601546
490	0.8695069655	0.3089938605
491	0.869537115	0.308933162
492	0.8696754883	0.3088552912
493	0.8697784777	0.3088065476
494	0.8698423058	0.3087263516
495	0.8698475203	0.3086548679
496	0.8698121726	0.3085491575
497	0.869808613	0.3084797693
498	0.869923664	0.3084016635
499	0.869792474	0.3083170317
500	0.8698776494	0.3082496622
501	0.8698439609	0.3081908614
502	0.8699379014	0.3081160291
503	0.8699984158	0.3080375193
504	0.8700570191	0.3079820115
505	0.8701331355	0.307893746
506	0.870181051	0.3078440272
507	0.870248395	0.307780679
508	0.8702289651	0.3077216571
509	0.8701846112	0.3076306444
510	0.8701279397	0.3075505569
511	0.8701085016	0.3074992166
512	0.8701156223	0.3073976948
513	0.8703105473	0.3073443649
514	0.8702946808	0.3072744028
515	0.8703956831	0.3072086707
516	0.8706083163	0.3071243458
517	0.8705782238	0.3070594764
518	0.8706668957	0.306978212
519	0.8706562121	0.3069032439
520	0.8706791783	0.3068409741
521	0.8706934229	0.3067778469
522	0.8707448771	0.3067096714
523	0.8708228512	0.3066620491
524	0.8708901328	0.3065892478
525	0.8709202091	0.3065189533
526	0.8709130859	0.3064554131
527	0.8710282339	0.3063971094
528	0.8710017256	0.306309121
529	0.8710547403	0.3062403536
530	0.8712141731	0.3061576712
531	0.8712513552	0.3060900924
532	0.8712885354	0.3060274713
533	0.8714530334	0.3059736782
534	0.8714158631	0.3059151983
535	0.8714866394	0.3058232874
536	0.8715467206	0.3057736676
537	0.871583883	0.3057196733
538	0.8716052579	0.3056701574
539	0.8715487433	0.3056068943
540	0.8715523059	0.3055344086
541	0.871562994	0.3054875361
542	0.8716373224	0.3054289114
543	0.8715935227	0.3053669779
544	0.8716551369	0.3052126057
545	0.8717258952	0.3051546487
546	0.8717258952	0.3051055653
547	0.871715712	0.3050405041
548	0.8717600018	0.3049620112
549	0.8717600018	0.3049161846
550	0.8717370934	0.3048633592
551	0.8716505379	0.3047605517
552	0.8717284382	0.30471501
553	0.8718098951	0.3046294054
554	0.8718063311	0.3045673829
555	0.8715991126	0.3044677115
556	0.8717706927	0.3043958742
557	0.8716454406	0.3043443133
558	0.8716347491	0.3042913013
559	0.871801244	0.3042366733
560	0.8719605824	0.3041835942
561	0.8720104884	0.3041267414
562	0.8720746617	0.3040700409
563	0.8720960549	0.3040072703
564	0.872122517	0.3039336183
565	0.8722054565	0.3038796245
566	0.8722268503	0.3038226198
567	0.8722482451	0.3037542157
568	0.8722996605	0.3036791282
569	0.8722339818	0.303598751
570	0.8723703919	0.3035154866
571	0.8723703919	0.3034699253
572	0.8723810905	0.3034182754
573	0.8724218028	0.303344254
574	0.8724325019	0.3032731893
575	0.8724732128	0.3032228561
576	0.8725067887	0.303147707
577	0.8725053126	0.3030902058
578	0.8724574676	0.3030333886
579	0.8723903054	0.3029693751
580	0.8724238875	0.3029107167
581	0.8724646009	0.3028569667
582	0.8726096021	0.3027901601
583	0.8726167359	0.3027332372
584	0.8726981428	0.3026864173
585	0.8727581394	0.302615284
586	0.8727652737	0.3025535187
587	0.8727495455	0.302490498
588	0.8727652737	0.3024297425
589	0.872745331	0.302342386
590	0.8727860247	0.3022736103
591	0.8728602727	0.3022161027
592	0.8728709738	0.3021586817
593	0.8728445518	0.3020738404
594	0.8729644961	0.3019925458
595	0.872952349	0.3019266643
596	0.8730865383	0.3018157425
597	0.8730643869	0.3017668385
598	0.873060819	0.3017058099
599	0.873124347	0.3016655958
